,user_id,food_id,rating,users_frequency,items_frequency
908,189616,9054,5,416,111
909,328542,9054,4,29,111
913,655199,9054,5,69,111
915,173579,9054,5,667,111
916,1027074,9054,5,47,111
928,568297,9054,5,51,111
930,400708,9054,5,778,111
965,177135,9054,5,93,111
967,794029,9054,5,27,111
987,358544,367376,5,59,32
990,537617,367376,5,87,32
991,4291,367376,5,105,32
995,749562,367376,5,21,32
998,311625,367376,5,177,32
999,146552,367376,3,68,32
1000,13483,367376,5,692,32
1001,439797,367376,5,249,32
1002,28636,367376,5,314,32
1003,502302,367376,4,139,32
1004,226863,367376,4,1877,32
1005,204024,367376,5,848,32
1006,1048179,367376,5,65,32
1008,1396309,367376,0,22,32
1009,369715,367376,5,1611,32
1011,307214,367376,5,176,32
1012,119956,367376,5,95,32
1013,515278,367376,5,79,32
1014,32058,367376,5,207,32
1015,394077,367376,4,325,32
1016,829250,367376,5,165,32
1073,107135,135585,5,1166,103
1074,53932,135585,5,909,103
1075,33159,135585,5,445,103
1076,60260,135585,5,245,103
1077,196296,135585,5,86,103
1078,217226,135585,4,121,103
1079,237330,135585,5,185,103
1080,294700,135585,5,62,103
1081,58439,135585,4,405,103
1082,269891,135585,5,69,103
1083,246936,135585,5,81,103
1084,355637,135585,4,130,103
1085,173314,135585,4,210,103
1086,47907,135585,4,418,103
1087,280271,135585,5,1302,103
1088,229850,135585,4,203,103
1091,167242,135585,4,54,103
1093,369597,135585,5,22,103
1095,39301,135585,5,127,103
1096,225179,135585,5,57,103
1097,311566,135585,5,55,103
1098,537578,135585,5,20,103
1099,371738,135585,5,135,103
1101,534623,135585,4,44,103
1102,478451,135585,5,104,103
1103,344938,135585,5,20,103
1104,226462,135585,5,67,103
1105,383853,135585,5,319,103
1106,227652,135585,4,629,103
1107,49561,135585,5,75,103
1108,497077,135585,5,115,103
1109,123871,135585,5,99,103
1110,632249,135585,4,544,103
1111,183817,135585,5,25,103
1112,55773,135585,5,21,103
1113,470351,135585,5,350,103
1115,440735,135585,4,162,103
1116,718620,135585,3,218,103
1117,284922,135585,5,100,103
1119,680579,135585,5,20,103
1120,368897,135585,5,52,103
1121,222433,135585,5,141,103
1122,353131,135585,5,129,103
1124,169712,135585,4,123,103
1125,344087,135585,5,53,103
1126,352814,135585,5,56,103
1127,444967,135585,5,29,103
1129,846154,135585,5,52,103
1132,358698,135585,4,130,103
1133,113509,135585,3,127,103
1134,13483,135585,5,692,103
1135,231057,135585,5,96,103
1136,189475,135585,5,107,103
1137,85018,135585,5,152,103
1138,227607,135585,5,274,103
1144,1179225,135585,4,944,103
1147,178742,135585,5,44,103
1148,1168372,135585,5,34,103
1152,166294,135585,4,135,103
1159,928301,135585,4,97,103
1160,369715,135585,4,1611,103
1163,2324285,135585,4,320,103
1164,293757,135585,5,31,103
1171,310001,135585,5,38,103
1172,2574795,135585,3,38,103
1175,894666,135585,5,49,103
1178,222564,24554,5,1088,20
1179,407625,24554,4,25,20
1180,29196,24554,5,861,20
1181,37036,24554,5,300,20
1182,15851,24554,5,114,20
1183,121840,24554,5,49,20
1184,168218,24554,5,20,20
1185,158086,24554,5,697,20
1186,83400,24554,5,60,20
1187,9869,24554,5,669,20
1188,236383,24554,4,22,20
1189,110210,24554,5,74,20
1192,53932,24554,5,909,20
1193,84038,24554,5,36,20
1194,1168148,24554,0,64,20
1240,18660,12572,5,59,72
1243,30298,12572,4,27,72
1246,58407,12572,4,74,72
1247,86627,12572,5,49,72
1248,56181,12572,5,102,72
1252,60992,12572,5,519,72
1253,250238,12572,4,74,72
1254,55729,12572,5,445,72
1256,98165,12572,5,59,72
1257,104472,12572,5,88,72
1258,37449,12572,5,3743,72
1259,68884,12572,5,266,72
1260,72243,12572,5,25,72
1261,31499,12572,5,154,72
1263,51011,12572,5,276,72
1264,103876,12572,5,391,72
1265,64583,12572,4,201,72
1266,177933,12572,5,188,72
1267,39301,12572,5,127,72
1269,425105,12572,5,217,72
1271,111291,12572,5,66,72
1273,357723,12572,5,38,72
1274,173314,12572,5,210,72
1275,171790,12572,5,896,72
1277,315055,12572,4,84,72
1280,166294,12572,5,135,72
1281,407007,12572,5,308,72
1282,363962,12572,5,46,72
1283,375111,12572,5,61,72
1284,672478,12572,5,22,72
1289,837995,12572,5,34,72
1292,622972,12572,4,22,72
1293,874900,12572,4,40,72
1298,876090,12572,5,28,72
1299,81522,12572,5,22,72
1301,1191030,12572,5,38,72
1302,355637,12572,4,130,72
1304,235355,12572,4,38,72
1309,1028382,12572,5,24,72
1313,65197,139213,5,321,35
1314,169969,139213,5,745,35
1315,56112,139213,5,367,35
1316,223979,139213,5,428,35
1317,131126,139213,5,1341,35
1318,175492,139213,5,142,35
1319,269891,139213,5,69,35
1320,80353,139213,5,1294,35
1321,58104,139213,5,2050,35
1322,430471,139213,5,463,35
1323,149363,139213,5,599,35
1325,223854,139213,5,583,35
1326,284897,139213,5,340,35
1327,464080,139213,5,761,35
1328,37449,139213,5,3743,35
1329,96177,139213,4,419,35
1330,416758,139213,5,38,35
1331,39835,139213,5,1360,35
1332,465911,139213,5,149,35
1333,542159,139213,5,1211,35
1334,192581,139213,5,550,35
1336,174096,139213,5,1180,35
1337,653438,139213,5,847,35
1338,471300,139213,5,106,35
1339,323186,139213,5,767,35
1340,852554,139213,5,219,35
1341,386585,139213,5,800,35
1342,133174,139213,4,2004,35
1343,780172,139213,5,505,35
1344,67728,139213,5,417,35
1345,305531,139213,5,1683,35
1346,171790,139213,5,896,35
1347,169430,139213,5,2694,35
1459,184723,86858,5,140,60
1460,173579,86858,5,667,60
1463,125773,86858,5,106,60
1467,60989,86858,5,215,60
1471,213547,86858,5,35,60
1473,147107,86858,4,20,60
1475,68960,86858,4,483,60
1476,166711,86858,5,27,60
1478,309967,86858,5,35,60
1480,142878,86858,5,41,60
1482,210117,86858,5,68,60
1485,114681,86858,3,120,60
1488,149363,86858,5,599,60
1494,49168,86858,5,92,60
1496,97780,86858,3,91,60
1498,709548,86858,4,22,60
1504,461887,86858,5,27,60
1506,768828,86858,0,200,60
1510,494084,86858,4,226,60
1572,121985,33861,4,99,22
1576,133174,33861,5,2004,22
1578,122878,33861,5,81,22
1579,650938,33861,5,22,22
1580,204705,33861,5,46,22
1581,335277,33861,5,61,22
1582,704950,33861,5,387,22
1586,663997,33861,5,207,22
1587,363055,33861,5,171,22
1589,653438,33861,5,847,22
1593,91584,33861,5,117,22
1635,59064,8507,5,591,53
1636,7802,8507,5,50,53
1637,26512,8507,5,167,53
1639,8688,8507,5,754,53
1640,185105,8507,5,115,53
1641,175574,8507,5,48,53
1642,71324,8507,5,153,53
1643,96177,8507,5,419,53
1644,133174,8507,5,2004,53
1645,29196,8507,5,861,53
1646,363962,8507,5,46,53
1647,373817,8507,5,112,53
1648,431813,8507,5,423,53
1649,158086,8507,5,697,53
1650,171084,8507,5,140,53
1651,53932,8507,5,909,53
1652,207176,8507,5,301,53
1653,20480,8507,5,334,53
1656,1052065,8507,5,65,53
1657,231054,8507,5,168,53
1659,440324,8507,5,454,53
1660,425154,8507,5,48,53
1661,511388,8507,5,38,53
1662,447742,8507,5,60,53
1664,844554,8507,5,778,53
1665,485109,8507,5,223,53
1666,400708,8507,5,778,53
1671,74904,8507,5,75,53
1673,738401,8507,5,137,53
1675,1060667,8507,5,181,53
1707,42337,96367,5,76,24
1709,54271,96367,5,33,24
1712,116401,96367,5,70,24
1718,308889,96367,5,25,24
1724,529278,96367,5,110,24
1727,1273226,96367,5,37,24
1728,357071,96367,0,117,24
1729,363055,96367,5,171,24
1950,172369,156341,5,181,23
1951,330545,156341,5,528,23
1952,192581,156341,5,550,23
1953,227652,156341,4,629,23
1955,37449,156341,5,3743,23
1956,95241,156341,5,40,23
1957,485728,156341,5,187,23
1958,465829,156341,5,302,23
1959,321999,156341,4,101,23
1960,283834,156341,4,59,23
1961,323186,156341,5,767,23
1962,247152,156341,5,38,23
1963,463435,156341,5,280,23
1964,870390,156341,5,32,23
1966,790962,156341,4,32,23
1967,212497,156341,5,108,23
1968,280271,156341,5,1302,23
2094,39835,49461,5,1360,33
2095,10033,49461,5,193,33
2096,50151,49461,4,82,33
2098,66549,49461,5,65,33
2099,37779,49461,5,623,33
2101,299608,49461,5,20,33
2102,338539,49461,4,26,33
2108,650938,49461,5,22,33
2109,412847,49461,5,46,33
2110,115065,49461,5,43,33
2111,192581,49461,5,550,33
2113,768828,49461,5,200,33
2116,353379,49461,4,111,33
2117,925054,49461,5,26,33
2119,1269015,49461,5,95,33
2120,628127,49461,5,70,33
2121,772128,49461,5,20,33
2123,227652,49461,5,629,33
2188,121840,69213,5,49,53
2189,138429,69213,5,164,53
2191,27416,69213,5,83,53
2193,52543,69213,5,463,53
2196,50969,69213,5,520,53
2197,134875,69213,5,31,53
2198,209441,69213,5,155,53
2200,185446,69213,5,303,53
2201,199213,69213,5,114,53
2202,284904,69213,5,63,53
2204,11176,69213,5,215,53
2205,288143,69213,5,33,53
2209,452749,69213,5,33,53
2211,185726,69213,5,36,53
2213,437974,69213,5,55,53
2216,164368,69213,5,116,53
2223,459426,69213,5,28,53
2224,904483,69213,5,74,53
2226,218535,69213,3,272,53
2229,452921,69213,5,25,53
2230,1271713,69213,5,20,53
2232,593513,69213,5,233,53
2233,1657616,69213,5,50,53
2234,140132,69213,5,1109,53
2238,2198343,69213,4,43,53
2241,37305,273976,5,323,41
2242,157425,273976,5,1139,41
2243,204024,273976,5,848,41
2244,102058,273976,5,513,41
2245,461834,273976,5,1046,41
2246,36944,273976,5,257,41
2247,369363,273976,5,26,41
2248,124416,273976,5,215,41
2249,578914,273976,5,115,41
2250,602448,273976,5,56,41
2251,197023,273976,5,961,41
2252,111678,273976,5,108,41
2253,35526,273976,5,317,41
2254,259150,273976,3,41,41
2256,125325,273976,5,116,41
2257,486648,273976,5,89,41
2258,68526,273976,5,265,41
2259,474322,273976,5,140,41
2260,205783,273976,5,87,41
2261,120121,273976,0,101,41
2262,203111,273976,5,142,41
2264,226066,273976,5,722,41
2265,629291,273976,5,40,41
2266,328467,273976,4,36,41
2267,880889,273976,3,24,41
2273,1365025,273976,5,196,41
2276,318262,273976,5,199,41
2351,73951,389287,5,47,27
2366,218535,389287,5,272,27
2408,169430,211997,5,2694,24
2409,278516,211997,4,90,24
2410,486725,211997,4,1178,24
2413,621626,211997,5,290,24
2416,28177,211997,5,555,24
2417,464080,211997,5,761,24
2419,91392,211997,5,486,24
2423,452355,211997,4,698,24
2425,469903,211997,5,580,24
2426,706608,211997,3,269,24
2427,143001,211997,5,33,24
2487,198580,21936,5,27,21
2488,185293,21936,5,88,21
2489,246266,21936,4,116,21
2490,160497,21936,5,37,21
2491,173314,21936,5,210,21
2493,290985,21936,5,20,21
2495,54678,21936,4,539,21
2498,559283,21936,3,40,21
2499,173880,21936,4,173,21
2501,724631,21936,5,558,21
2502,537937,21936,5,751,21
2503,456158,21936,5,29,21
2504,801264,21936,5,49,21
2505,222564,21936,4,1088,21
2613,647466,86940,4,34,58
2615,1072593,86940,5,1361,58
2616,64642,86940,4,220,58
2617,189616,86940,5,416,58
2618,197023,86940,5,961,58
2619,76535,86940,4,178,58
2621,649173,86940,4,39,58
2623,585176,86940,5,20,58
2624,383346,86940,5,3340,58
2626,130819,86940,5,565,58
2627,804550,86940,5,538,58
2628,58836,86940,5,120,58
2629,446523,86940,5,128,58
2630,166642,86940,5,1197,58
2631,89831,86940,5,1936,58
2632,173579,86940,5,667,58
2633,1139722,86940,5,25,58
2634,226372,86940,5,58,58
2635,403729,86940,5,81,58
2636,663997,86940,5,207,58
2637,544754,86940,5,40,58
2638,632249,86940,5,544,58
2639,226863,86940,5,1877,58
2640,223854,86940,5,583,58
2641,601528,86940,5,274,58
2642,1105991,86940,5,247,58
2643,284904,86940,5,63,58
2644,428885,86940,5,982,58
2645,47892,86940,4,1093,58
2646,482376,86940,5,1050,58
2647,672534,86940,4,82,58
2649,369715,86940,5,1611,58
2650,50969,86940,4,520,58
2652,461834,86940,5,1046,58
2653,204024,86940,5,848,58
2654,798181,86940,5,133,58
2656,286566,86940,5,1353,58
2659,1676220,86940,0,20,58
2660,742029,86940,5,66,58
2662,1378827,86940,5,22,58
2663,296085,86940,5,43,58
2667,169430,86940,5,2694,58
2668,39835,86940,5,1360,58
2669,266635,86940,5,685,58
2742,26512,34233,5,167,70
2743,37868,34233,5,192,70
2744,66246,34233,5,62,70
2746,37779,34233,5,623,70
2749,104600,34233,5,62,70
2750,9869,34233,5,669,70
2751,55380,34233,4,209,70
2753,64682,34233,5,59,70
2755,106867,34233,5,41,70
2756,88099,34233,5,1272,70
2759,147109,34233,5,80,70
2760,124249,34233,5,586,70
2761,186071,34233,5,93,70
2762,225903,34233,5,88,70
2764,226989,34233,5,46,70
2765,302094,34233,5,200,70
2768,374520,34233,5,76,70
2769,412847,34233,5,46,70
2770,289319,34233,4,54,70
2771,363149,34233,4,22,70
2773,478451,34233,5,104,70
2774,56003,34233,4,674,70
2776,704950,34233,5,387,70
2777,153188,34233,5,137,70
2778,174096,34233,5,1180,70
2779,133174,34233,4,2004,70
2781,844554,34233,5,778,70
2782,650373,34233,4,47,70
2783,1088637,34233,5,20,70
2784,382123,34233,5,42,70
2786,719083,34233,5,81,70
2787,526666,34233,5,528,70
2789,315055,34233,3,84,70
2790,534554,34233,5,56,70
2793,333017,34233,4,391,70
2794,140132,34233,5,1109,70
2795,34025,34233,5,69,70
2797,452940,34233,0,763,70
2801,471300,34233,5,106,70
2803,57222,34233,4,270,70
2805,1415433,34233,5,25,70
2806,1042494,34233,5,80,70
2807,906665,34233,5,122,70
2809,1060667,34233,4,181,70
2810,376986,34233,3,103,70
2826,363055,227257,5,171,59
2827,457907,227257,5,89,59
2828,501778,227257,5,95,59
2832,67656,227257,5,1088,59
2833,270514,227257,5,150,59
2834,527607,227257,5,740,59
2835,482812,227257,5,73,59
2836,446143,227257,5,434,59
2838,425105,227257,4,217,59
2839,228458,227257,5,489,59
2840,538563,227257,5,20,59
2842,126435,227257,5,210,59
2843,465911,227257,5,149,59
2844,791416,227257,5,82,59
2845,818109,227257,5,30,59
2846,846829,227257,3,20,59
2847,562229,227257,5,22,59
2848,369264,227257,5,84,59
2849,953275,227257,5,402,59
2852,544074,227257,5,37,59
2859,57222,227257,4,270,59
2860,485773,227257,4,64,59
2862,180090,227257,4,181,59
2866,777453,227257,5,37,59
2867,248647,227257,5,45,59
2868,185926,227257,5,189,59
2872,1404437,227257,5,20,59
2873,532289,227257,5,64,59
2875,182809,227257,0,220,59
2876,1094446,227257,5,22,59
2877,583349,227257,5,134,59
2882,140008,227257,3,143,59
2883,580861,227257,5,54,59
2915,124416,169916,5,215,88
2917,237123,169916,5,324,88
2918,230102,169916,5,144,88
2919,121185,169916,5,156,88
2920,29782,169916,5,661,88
2923,217867,169916,5,41,88
2924,83093,169916,5,385,88
2926,333840,169916,5,34,88
2929,340847,169916,5,21,88
2930,136465,169916,5,67,88
2932,183872,169916,4,25,88
2934,254909,169916,5,55,88
2935,122877,169916,5,98,88
2937,262200,169916,5,20,88
2939,329638,169916,5,124,88
2943,206722,169916,5,197,88
2944,324677,169916,5,56,88
2945,164182,169916,5,26,88
2946,512309,169916,5,174,88
2949,509259,169916,5,28,88
2951,726534,169916,3,56,88
2952,192264,169916,5,245,88
2953,430663,169916,5,25,88
2954,394077,169916,5,325,88
2956,447165,169916,5,105,88
2961,165933,169916,5,258,88
2962,876090,169916,5,28,88
2963,353846,169916,5,21,88
2965,160974,169916,5,770,88
2967,178427,169916,5,433,88
2968,25941,169916,5,76,88
2971,403729,169916,5,81,88
2972,1133190,169916,5,96,88
2977,539686,169916,5,389,88
2979,808063,169916,4,51,88
2987,1328641,169916,5,20,88
2991,1122988,169916,5,85,88
2999,277462,169916,5,27,88
3044,199213,283034,5,114,20
3045,63128,283034,5,150,20
3046,233583,283034,4,314,20
3047,65197,283034,4,321,20
3048,133174,283034,5,2004,20
3049,204024,283034,4,848,20
3050,223854,283034,5,583,20
3051,102058,283034,4,513,20
3052,131126,283034,5,1341,20
3053,486725,283034,5,1178,20
3054,240552,283034,5,369,20
3055,39301,283034,5,127,20
3056,88099,283034,5,1272,20
3057,323186,283034,5,767,20
3058,679953,283034,0,953,20
3059,92006,283034,5,177,20
3060,174096,283034,5,1180,20
3061,489552,283034,5,180,20
3062,386585,283034,5,800,20
3063,1105991,283034,5,247,20
3095,134011,82226,5,121,33
3097,176615,82226,5,1392,33
3098,37183,82226,5,28,33
3100,59064,82226,5,591,33
3101,167225,82226,5,159,33
3102,208984,82226,5,36,33
3104,64203,82226,5,256,33
3105,125458,82226,5,201,33
3106,217226,82226,5,121,33
3107,64583,82226,5,201,33
3109,185105,82226,5,115,33
3110,230258,82226,5,198,33
3111,222055,82226,2,250,33
3112,124249,82226,5,586,33
3113,324621,82226,4,219,33
3115,407007,82226,5,308,33
3116,632249,82226,5,544,33
3118,556011,82226,3,44,33
3119,292507,82226,5,22,33
3120,362983,82226,5,274,33
3173,29404,63828,5,51,411
3175,28346,63828,5,183,411
3177,64642,63828,5,220,411
3178,86627,63828,5,49,411
3184,35414,63828,4,32,411
3188,49879,63828,5,22,411
3189,93006,63828,5,195,411
3191,36187,63828,5,61,411
3193,95743,63828,0,1491,411
3194,146284,63828,5,221,411
3197,146486,63828,5,148,411
3198,106777,63828,4,30,411
3204,50151,63828,5,82,411
3205,185446,63828,5,303,411
3213,195175,63828,5,104,411
3215,487548,63828,5,33,411
3221,574936,63828,5,63,411
3229,194611,63828,5,23,411
3231,186070,63828,5,147,411
3236,626096,63828,5,85,411
3238,58300,63828,5,44,411
3244,865653,63828,5,40,411
3246,221099,63828,5,32,411
3247,765437,63828,3,55,411
3249,288143,63828,5,33,411
3254,228037,63828,5,38,411
3262,546010,63828,4,224,411
3263,30503,63828,5,87,411
3276,457907,63828,5,89,411
3280,310749,63828,5,92,411
3282,666829,63828,5,21,411
3287,517298,63828,5,26,411
3289,140132,63828,5,1109,411
3290,82772,63828,5,34,411
3295,786065,63828,5,42,411
3299,146047,63828,5,201,411
3306,363055,63828,5,171,411
3315,538578,63828,5,116,411
3318,109608,63828,5,64,411
3329,879716,63828,5,91,411
3343,560491,63828,5,852,411
3355,294000,63828,5,135,411
3378,323328,63828,5,76,411
3385,489929,63828,5,39,411
3402,1579905,63828,5,58,411
3410,540346,63828,3,136,411
3432,1742738,63828,5,37,411
3433,13796,63828,5,203,411
3436,362983,63828,2,274,411
3450,298447,63828,5,121,411
3460,126440,63828,5,1045,411
3461,2574795,63828,5,38,411
3462,218535,63828,2,272,411
3519,161265,63828,5,34,411
3589,58104,120813,5,2050,32
3591,149363,120813,5,599,32
3592,147027,120813,5,195,32
3594,197023,120813,5,961,32
3599,9869,120813,5,669,32
3600,129992,120813,5,52,32
3601,277825,120813,4,52,32
3602,95810,120813,5,111,32
3603,158086,120813,5,697,32
3604,142617,120813,5,45,32
3605,283251,120813,4,304,32
3610,493276,120813,5,20,32
3611,625696,120813,2,157,32
3612,230860,120813,3,183,32
3613,171790,120813,5,896,32
3614,130819,120813,5,565,32
3615,494593,120813,5,53,32
3616,385423,120813,4,49,32
3617,471652,120813,5,37,32
3618,262312,120813,5,170,32
3620,176481,120813,4,85,32
3665,54697,232055,5,158,52
3666,363055,232055,5,171,52
3668,53932,232055,5,909,52
3672,774665,232055,5,92,52
3673,442070,232055,5,44,52
3674,31420,232055,5,29,52
3675,874900,232055,5,40,52
3677,366914,232055,5,88,52
3678,256021,232055,5,52,52
3679,427184,232055,5,337,52
3680,333017,232055,5,391,52
3681,231057,232055,5,96,52
3683,211577,232055,5,34,52
3684,1187622,232055,5,31,52
3686,978876,232055,5,76,52
3689,440324,232055,5,454,52
3691,745868,232055,5,37,52
3692,185926,232055,5,189,52
3705,742029,232055,5,66,52
3706,1072593,232055,5,1361,52
3886,131698,78834,5,31,26
3887,74558,78834,0,83,26
3888,6357,78834,5,899,26
3889,120108,78834,5,56,26
3891,65056,78834,5,396,26
3892,87236,78834,5,116,26
3893,156653,78834,5,81,26
3894,1535,78834,5,493,26
3895,149363,78834,5,599,26
3896,169969,78834,5,745,26
3897,176615,78834,5,1392,26
3898,158086,78834,5,697,26
3899,104295,78834,5,1255,26
3905,43083,78834,4,562,26
3906,531155,78834,5,28,26
3907,604324,78834,5,37,26
3908,592157,78834,5,31,26
3909,502302,78834,5,139,26
3910,1345244,78834,5,24,26
3911,303427,78834,5,73,26
3937,82737,12044,5,43,29
3939,55380,12044,5,209,29
3941,130663,12044,5,371,29
3942,109547,12044,5,35,29
3943,111347,12044,5,28,29
3944,84657,12044,5,35,29
3947,641076,12044,5,20,29
3948,254805,12044,5,79,29
3951,288146,12044,5,163,29
3952,336058,12044,4,454,29
3956,471300,12044,5,106,29
3958,325318,12044,0,36,29
3969,47559,169475,4,581,25
3970,107135,169475,5,1166,25
3971,163112,169475,5,940,25
3972,69904,169475,5,98,25
3973,258285,169475,4,165,25
3974,268058,169475,5,101,25
3975,199848,169475,5,1934,25
3976,236383,169475,5,22,25
3977,402559,169475,5,204,25
3978,329769,169475,3,546,25
3979,463202,169475,3,321,25
3980,226918,169475,5,57,25
3981,136997,169475,4,880,25
3982,418179,169475,5,28,25
3983,149075,169475,5,48,25
3984,869184,169475,5,409,25
3985,353131,169475,5,129,25
3986,954556,169475,5,35,25
3987,120108,169475,5,56,25
3989,1179225,169475,3,944,25
4039,33188,58224,5,24,21
4040,33443,58224,5,56,21
4041,28346,58224,5,183,21
4042,115053,58224,4,41,21
4043,101823,58224,4,876,21
4044,42720,58224,5,138,21
4045,60992,58224,4,519,21
4046,114681,58224,4,120,21
4047,196198,58224,2,34,21
4048,130219,58224,4,184,21
4049,134011,58224,5,121,21
4054,44642,58224,1,78,21
4056,96177,58224,5,419,21
4057,101432,58224,5,26,21
4058,37779,58224,0,623,21
4059,2000498330,58224,5,163,21
4107,92641,96087,5,97,22
4108,24386,96087,5,312,22
4109,52543,96087,5,463,22
4110,73988,96087,5,40,22
4111,185285,96087,5,297,22
4113,356062,96087,5,421,22
4114,65720,96087,5,109,22
4117,220166,96087,5,77,22
4118,55523,96087,5,95,22
4120,376098,96087,5,148,22
4122,105780,96087,5,33,22
4126,126440,96087,5,1045,22
4211,43642,130793,5,132,42
4212,46660,130793,5,168,42
4213,31499,130793,5,154,42
4214,227226,130793,5,30,42
4216,250031,130793,4,191,42
4217,182330,130793,5,25,42
4218,229052,130793,4,42,42
4219,430471,130793,5,463,42
4220,331817,130793,5,33,42
4221,394592,130793,5,259,42
4222,29063,130793,5,95,42
4223,231612,130793,5,48,42
4225,31807,130793,4,57,42
4226,22015,130793,5,509,42
4227,39334,130793,5,157,42
4230,330505,130793,4,200,42
4231,419636,130793,5,24,42
4233,528468,130793,5,68,42
4234,457907,130793,5,89,42
4235,844554,130793,5,778,42
4236,672734,130793,1,24,42
4238,242856,130793,5,23,42
4241,368897,130793,5,52,42
4243,771965,130793,5,57,42
4249,198154,130793,5,473,42
4250,140132,130793,5,1109,42
4252,350750,37413,5,226,272
4253,177085,37413,5,37,272
4255,28455,37413,5,70,272
